EmployeeNumber,EmployeeID,FirstName,LastName,Gender,Age,MaritalStatus,Education,EducationField,Department,JobRole,JobLevel,HireDate,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition,TerminationDate,BusinessTravel,DailyRate,DistanceFromHome,EmployeeCount,HourlyRate,JobInvolvement,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance
1,EMP00001,Heather,Carlson,Non-Binary,48,Single,Master,Medical,R&D,Director of R&D,5,2015-11-02,9,4,4,3,No,,Non-Travel,256,47,1,32,4,2,140874,154961.40000000002,1,Y,Yes,20,3,4,40,0,10,6,4
2,EMP00002,Jasmine,Smith,Female,49,Single,Bachelor,Life Sciences,Sales,Sales Manager,3,2016-09-20,8,8,0,1,No,,Travel_Rarely,208,28,1,26,3,2,76103,83713.3,4,Y,Yes,17,3,1,40,0,12,6,4
3,EMP00003,Michael,Sampson,Male,40,Married,High School,Life Sciences,R&D,R&D Manager,4,2023-01-24,2,0,0,1,No,,Non-Travel,400,9,1,50,2,4,93154,102469.40000000001,9,Y,Yes,22,4,4,40,0,11,1,4
4,EMP00004,Diana,Hicks,Female,37,Married,Associate,Technical Degree,R&D,Director of R&D,5,2017-04-02,8,7,7,1,No,,Travel_Rarely,352,46,1,44,2,2,154468,169914.80000000002,8,Y,No,22,1,3,40,0,16,0,2
5,EMP00005,Patrick,Huerta,Male,49,Single,Master,Life Sciences,HR,HR Manager,3,2021-05-05,4,0,0,2,No,,Non-Travel,296,23,1,37,4,3,55149,60663.9,2,Y,Yes,13,5,4,40,1,6,2,3
6,EMP00006,Russell,Rose,Male,44,Single,Master,Medical,Sales,Sales Director,5,2023-02-09,2,1,0,0,No,,Travel_Frequently,320,7,1,40,3,3,120497,132546.7,2,Y,No,20,3,2,40,0,4,2,2
7,EMP00007,Brittany,Woods,Female,32,Single,Master,Life Sciences,HR,HR Director,5,2020-12-26,4,1,0,1,No,,Travel_Rarely,440,8,1,55,1,4,72475,79722.5,2,Y,Yes,18,3,1,40,0,6,0,4
8,EMP00008,Judith,Beard,Female,35,Married,PhD,Technical Degree,R&D,Director of R&D,5,2010-01-01,15,2,1,11,No,,Travel_Rarely,256,5,1,32,3,2,145135,159648.5,0,Y,Yes,18,3,2,40,0,15,0,3
9,EMP00009,Bradley,Wright,Male,28,Married,High School,Technical Degree,R&D,Research Scientist,1,2020-10-22,0,0,0,0,Yes,2021-10-11,Non-Travel,184,13,1,23,4,1,59593,65552.3,9,Y,No,18,2,3,40,1,9,2,2
10,EMP00010,Mitchell,Harrison,Male,57,Divorced,PhD,Technical Degree,HR,HR Manager,3,2023-03-20,2,1,0,2,No,,Non-Travel,200,41,1,25,3,3,61555,67710.5,4,Y,No,11,3,2,40,3,6,2,2
11,EMP00011,Crystal,Meza,Female,46,Married,PhD,Technical Degree,Sales,Sales Manager,3,2019-02-20,4,3,2,2,Yes,2023-10-22,Non-Travel,176,43,1,22,3,2,85540,94094.00000000001,2,Y,No,21,3,4,40,2,6,5,4
12,EMP00012,Katherine,Cruz,Female,39,Married,Master,Life Sciences,Sales,Sales Director,5,2018-07-06,6,2,0,3,No,,Non-Travel,248,19,1,31,1,3,91572,100729.20000000001,3,Y,No,15,4,3,40,0,9,6,1
13,EMP00013,Kaitlyn,Hines,Female,39,Single,Master,Life Sciences,HR,HR Director,5,2021-03-22,2,1,1,1,Yes,2023-10-23,Non-Travel,384,16,1,48,1,1,87317,96048.70000000001,1,Y,No,19,4,2,40,0,3,1,2
14,EMP00014,Wendy,Montgomery,Female,47,Married,PhD,Life Sciences,R&D,Director of R&D,5,2013-05-04,12,5,1,8,No,,Travel_Rarely,288,31,1,36,1,2,158312,174143.2,5,Y,No,16,3,4,40,0,17,2,4
